"ProtocolID","DeviceName","TagName","DataType","DataCount","Retentive","Address","ArrayStart","ArrayEnd"
2511,"DEV001","Mole2_seed_reset.DN","Discrete",1,0,"DISC_RT8.DN",0,0
2511,"DEV001","MOLE_3_TIMER.ACC","Signed_int_32",1,0,"SI32_RT9.Acc",0,0
2511,"DEV001","Mole_3_timer.Done","Discrete",1,0,"DISC_RT9.Done",0,0
2511,"DEV001","Mole_3_timer.Zero","Discrete",1,0,"DISC_RT9.Zero",0,0
2511,"DEV001","Mole_3_timer.Timing","Discrete",1,0,"DISC_RT9.Timing",0,0
2511,"DEV001","Mole_3_timer.Reset","Discrete",1,0,"DISC_RT9.Reset",0,0
2511,"DEV001","Mole_3_timer.TT","Discrete",1,0,"DISC_RT9.TT",0,0
2511,"DEV001","Mole_3_timer.EN","Discrete",1,0,"DISC_RT9.EN",0,0
2511,"DEV001","Mole_3_timer.DN","Discrete",1,0,"DISC_RT9.DN",0,0
2511,"DEV001","MOLE3_SEED_RESET.ACC","Signed_int_32",1,0,"SI32_RT10.Acc",0,0
2511,"DEV001","Mole3_seed_reset.Done","Discrete",1,0,"DISC_RT10.Done",0,0
2511,"DEV001","Mole3_seed_reset.Zero","Discrete",1,0,"DISC_RT10.Zero",0,0
2511,"DEV001","Mole3_seed_reset.Timing","Discrete",1,0,"DISC_RT10.Timing",0,0
2511,"DEV001","Mole3_seed_reset.Reset","Discrete",1,0,"DISC_RT10.Reset",0,0
2511,"DEV001","Mole3_seed_reset.TT","Discrete",1,0,"DISC_RT10.TT",0,0
2511,"DEV001","MOLE3_SEED_RESET.EN","Discrete",1,0,"DISC_RT10.EN",0,0
2511,"DEV001","MOLE3_SEED_RESET.DN","Discrete",1,0,"DISC_RT10.DN",0,0
2511,"DEV001","AN_MOLE_3_WHACKED","Discrete",1,0,"DISC_RCT6.Done",0,0
2511,"DEV001","AN_MOLE_2_WHACKED","Discrete",1,0,"DISC_RCT5.Done",0,0
2511,"DEV001","AN_MOLE_1_WHACKED","Discrete",1,0,"DISC_RCT4.Done",0,0
2511,"DEV001","A_MOLES_TOTAL","Unsigned_int_16",1,0,"UI16_Rv0",0,0
2511,"DEV001","HMI_Player_Score","Discrete",1,0,"DISCC21",0,0
2511,"DEV001","HMI_Player_Erred","Discrete",1,0,"DISCC22",0,0
2511,"DEV001","High_Score_Flag","Discrete",1,0,"DISCC30",0,0
2511,"DEV001","HMI_End","Discrete",1,0,"DISCC39",0,0
2511,"DEV001","HMI_Screen","Unsigned_int_16",1,0,"UI16V9",0,0
2511,"DEV001","High_Score_0","Unsigned_int_16",1,0,"UI16V10",0,0
2511,"DEV001","High_Score_1","Unsigned_int_16",1,0,"UI16V11",0,0
2511,"DEV001","High_Score_2","Unsigned_int_16",1,0,"UI16V12",0,0
2511,"DEV001","Game_Step_Done","Discrete",1,0,"DISC_RT20.Done",0,0
2511,"DEV001","HMI_Score","Signed_int_32",1,0,"SI32CT0.Acc",0,0
2511,"DEV001","HMI_Errors","Signed_int_32",1,0,"SI32CT1.Acc",0,0
2511,"DEV001","Game_Over","Discrete",1,0,"DISC_RCT1.Done",0,0
